AC_Number, Constituency,District,Region,Reserved,Lok Sabha Constituency
1,Gummidipundi,Tiruvallur,Chennai Metro,GEN,Tiruvallur
2,Ponneri,Tiruvallur,Chennai Metro,SC,Tiruvallur
3,Tiruttani,Tiruvallur,Chennai Metro,GEN,Arakkonam
4,Thiruvallur,Tiruvallur,Chennai Metro,GEN,Tiruvallur
5,Poonamallee,Tiruvallur,Chennai Metro,SC,Tiruvallur
6,Avadi,Tiruvallur,Chennai Metro,GEN,Tiruvallur
7,Maduravoyal,Tiruvallur,Chennai Metro,GEN,Sriperumbudur
8,Ambattur,Tiruvallur,Chennai Metro,GEN,Sriperumbudur
9,Madavaram,Tiruvallur,Chennai Metro,GEN,Tiruvallur
10,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN,Chennai North
11,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN,Chennai North
12,Perambur,Chennai,Chennai Metro,GEN,Chennai North
13,Kolathur,Chennai,Chennai Metro,GEN,Chennai North
14,Villivakkam,Chennai,Chennai Metro,GEN,Chennai Central
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,SC,Chennai North
16,Egmore,Chennai,Chennai Metro,SC,Chennai Central
17,Royapuram,Chennai,Chennai Metro,GEN,Chennai North
18,Harbour,Chennai,Chennai Metro,GEN,Chennai Central
19,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,GEN,Chennai Central
20,Thousand Lights,Chennai,Chennai Metro,GEN,Chennai Central
21,Anna Nagar,Chennai,Chennai Metro,GEN,Chennai Central
22,Virugampakkam,Chennai,Chennai Metro,GEN,Chennai South
23,Saidapet,Chennai,Chennai Metro,GEN,Chennai South
24,Theayagaraya Nagar,Chennai,Chennai Metro,GEN,Chennai South
25,Mylapore,Chennai,Chennai Metro,GEN,Chennai South
26,Velachery,Chennai,Chennai Metro,GEN,Chennai South
27,Shozhinganallur,Chengalpattu,Chennai Metro,GEN,Chennai South
28,Alandur,Kanchipuram,Chennai Metro,GEN,Sriperumbudur
29,Sriperumbudur,Kanchipuram,Chennai Metro,SC,Sriperumbudur
30,Pallavaram,Chengalpattu,Chennai Metro,GEN,Sriperumbudur
31,Tambaram,Chengalpattu,Chennai Metro,GEN,Sriperumbudur
32,Chengalpattu,Chengalpattu,Chennai Metro,GEN,Kanchipuram
33,Thiruporur,Chengalpattu,Chennai Metro,GEN,Kanchipuram
34,Cheyyur,Chengalpattu,Chennai Metro,SC,Kanchipuram
35,Maduranthakam,Chengalpattu,Chennai Metro,SC,Kanchipuram
36,Uthiramerur,Kanchipuram,Chennai Metro,GEN,Kanchipuram
37,Kancheepuram,Kanchipuram,Chennai Metro,GEN,Kanchipuram
38,Arakkonam,Ranipet,North,SC,Arakkonam
39,Sholinghur,Ranipet,North,GEN,Arakkonam
40,Katpadi,Vellore,North,GEN,Arakkonam
41,Ranipet,Ranipet,North,GEN,Arakkonam
42,Arcot,Ranipet,North,GEN,Arakkonam
43,Vellore,Vellore,North,GEN,Vellore
44,Anaikattu,Vellore,North,GEN,Vellore
45,Kilvaithinankuppam,Vellore,North,SC,Vellore
46,Gudiyatham,Vellore,North,SC,Vellore
47,Vaniayambadi,Tirupattur,North,GEN,Vellore
48,Ambur,Tirupattur,North,GEN,Vellore
49,Jolarpet,Tirupattur,North,GEN,Tiruvannamalai
50,Tirupattur,Tirupattur,North,GEN,Tiruvannamalai
51,Uthangarai,Krishnagiri,North,SC,Krishnagiri
52,Bargur,Krishnagiri,North,GEN,Krishnagiri
53,Krishnagiri,Krishnagiri,North,GEN,Krishnagiri
54,Veppanahalli,Krishnagiri,North,GEN,Krishnagiri
55,Hosur,Krishnagiri,North,GEN,Krishnagiri
56,Thalli,Krishnagiri,North,GEN,Krishnagiri
57,Palacode,Dharmapuri,North,GEN,Dharmapuri
58,Pennagaram,Dharmapuri,North,GEN,Dharmapuri
59,Dharmapuri,Dharmapuri,North,GEN,Dharmapuri
60,Pappireddippatti,Dharmapuri,North,GEN,Dharmapuri
61,Harur,Dharmapuri,North,SC,Dharmapuri
62,Chengam,Tiruvannamalai,North,SC,Tiruvannamalai
63,Tiruvannamalai,Tiruvannamalai,North,GEN,Tiruvannamalai
64,Kilpennathur,Tiruvannamalai,North,GEN,Tiruvannamalai
65,Kalasapakkam,Tiruvannamalai,North,GEN,Tiruvannamalai
66,Polur,Tiruvannamalai,North,GEN,Arani
67,Arani,Tiruvannamalai,North,GEN,Arani
68,Cheyyar,Tiruvannamalai,North,GEN,Arani
69,Vandavasi,Tiruvannamalai,North,SC,Arani
70,Gingee,Villupuram,North,GEN,Arani
71,Mailam,Villupuram,North,GEN,Arani
72,Tindivanam,Villupuram,North,SC,Villupuram
73,Vanur,Villupuram,North,SC,Villupuram
74,Villupuram,Villupuram,North,GEN,Villupuram
75,Vikravandi,Villupuram,North,GEN,Villupuram
76,Tirukkoyilur,Villupuram,North,GEN,Villupuram
77,Ulundurpet,Kallakurichi,North,GEN,Villupuram
78,Rishivandiam,Kallakurichi,North,GEN,Kallakurichi
79,Sankarapuram,Kallakurichi,North,GEN,Kallakurichi
80,Kallakurichi,Kallakurichi,North,SC,Kallakurichi
81,Gangavalli,Salem,Kongu,SC,Kallakurichi
82,Attur,Salem,Kongu,SC,Kallakurichi
83,Yercaud,Salem,Kongu,ST,Kallakurichi
84,Omalur,Salem,Kongu,GEN,Salem
85,Mettur,Salem,Kongu,GEN,Dharmapuri
86,Edapadi,Salem,Kongu,GEN,Salem
87,Sankari,Salem,Kongu,GEN,Namakkal
88,Salem (West),Salem,Kongu,GEN,Salem
89,Salem (North),Salem,Kongu,GEN,Salem
90,Salem (South),Salem,Kongu,GEN,Salem
91,Veerapandi,Salem,Kongu,GEN,Salem
92,Rasipuram,Namakkal,Kongu,SC,Namakkal
93,Senthamangalam,Namakkal,Kongu,ST,Namakkal
94,Namakkal,Namakkal,Kongu,GEN,Namakkal
95,Paramathi-Velur,Namakkal,Kongu,GEN,Namakkal
96,Tiruchengode,Namakkal,Kongu,GEN,Namakkal
97,Kumarapalayam,Namakkal,Kongu,GEN,Erode
98,Erode (East),Erode,Kongu,GEN,Erode
99,Erode (West),Erode,Kongu,GEN,Erode
